	T1	T2	T3	T4	T5	T6	T7	T8
1	2605	5105	7610	10110	12615	15115	17620	20120
2	5120	10140	15160	20180	25200	30220	35240	40260
3	7670	15235	22805	30370	37940	45505	53075	60640
4	10260	20420	30580	40740	50900	61060	71220	81380
5	12915	25725	38540	51350	64165	76975	89790	102600
6	15640	31180	46720	62260	77800	93340	108880	124420
7	18460	36815	55175	73530	91890	110245	128605	146960
8	21380	42660	63940	85220	106500	127780	149060	170340
9	24425	48745	73070	97390	121715	146035	170360	194680
10	27600	55100	82600	110100	137600	165100	192600	220100
11	30930	61755	92585	123410	154240	185065	215895	246720
12	34420	68740	103060	137380	171700	206020	240340	274660
13	38095	76085	114080	152070	190065	228055	266050	304040
14	41960	83820	125680	167540	209400	251260	293120	334980
15	46040	91975	137915	183850	229790	275725	321665	367600
16	50340	100580	150820	201060	251300	301540	351780	402020
17	54885	109665	164450	219230	274015	328795	383580	438360
18	59680	119260	178840	238420	298000	357580	417160	476740
19	64750	129395	194045	258690	323340	387985	452635	517280
20	70100	140100	210100	280100	350100	420100	490100	560100
21	75755	151405	227060	302710	378365	454015	529670	605320
22	81720	163340	244960	326580	408200	489820	571440	653060
23	88020	175935	263855	351770	439690	527605	615525	703440
24	94660	189220	283780	378340	472900	567460	662020	756580
25	101665	203225	304790	406350	507915	609475	711040	812600
26	109040	217980	326920	435860	544800	653740	762680	871620
27	116810	233515	350225	466930	583640	700345	817055	933760
28	124980	249860	374740	499620	624500	749380	874260	999140
29	133575	267045	400520	533990	667465	800935	934410	1067880
